, SignalFeature1_D1, SignalFeature2_D1, SignalFeature3_D1, SignalFeature4_D1, SignalFeature5_D1, SignalFeature6_D1, SignalFeature7_D1, SignalFeature8_D1, SignalFeature9_D1, SignalFeature10_D1, SignalFeature11_D1, SignalFeature12_D1, SignalFeature13_D1, SignalFeature14_D1, SignalFeature15_D1, SignalFeature16_D1, SignalFeature17_D1, SignalFeature18_D1, SignalFeature19_D1, SignalFeature20_D1, NoiseFeature1_D1, NoiseFeature2_D1, NoiseFeature3_D1, NoiseFeature4_D1, NoiseFeature5_D1
DataItem1, 36, 36, 24, 27, 2, 2, 6, 5, 9, 12, 9, 10, 16, 16, 16, 17, 24, 20, 11, 25, 2, 1, 2, 3, 0
DataItem2, 20, 16, 25, 24, 3, 6, 8, 5, 14, 13, 9, 11, 13, 15, 14, 14, 17, 26, 19, 16, 2, 3, 1, 1, 2
DataItem3, 34, 25, 29, 30, 4, 5, 7, 4, 11, 15, 9, 5, 14, 12, 15, 8, 20, 14, 11, 27, 0, 1, 3, 0, 1
DataItem4, 24, 21, 18, 25, 4, 2, 6, 3, 13, 13, 15, 13, 23, 11, 13, 10, 21, 19, 15, 18, 2, 4, 1, 0, 1
DataItem5, 34, 29, 25, 24, 6, 5, 10, 7, 6, 9, 11, 13, 17, 14, 17, 18, 16, 16, 18, 22, 0, 1, 0, 2, 0
DataItem6, 30, 24, 25, 22, 4, 6, 4, 6, 10, 9, 14, 13, 9, 12, 17, 14, 18, 20, 20, 19, 1, 1, 0, 1, 2
DataItem7, 17, 22, 28, 28, 3, 5, 4, 3, 9, 14, 8, 8, 15, 15, 12, 14, 15, 19, 25, 15, 0, 1, 3, 1, 0
DataItem8, 29, 30, 27, 20, 4, 3, 6, 4, 10, 4, 7, 8, 14, 10, 12, 14, 23, 23, 14, 22, 0, 1, 1, 2, 2
DataItem9, 25, 33, 23, 28, 4, 3, 7, 4, 11, 10, 8, 13, 14, 14, 16, 12, 16, 17, 22, 16, 1, 3, 1, 1, 1
DataItem10, 31, 22, 28, 25, 1, 5, 8, 5, 8, 5, 14, 7, 11, 14, 14, 11, 25, 25, 23, 21, 0, 0, 0, 1, 1
DataItem11, 26, 26, 26, 20, 3, 7, 4, 5, 8, 7, 14, 7, 14, 14, 22, 10, 19, 14, 18, 19, 0, 2, 2, 0, 0
DataItem12, 21, 33, 24, 27, 9, 2, 6, 7, 7, 10, 12, 12, 19, 16, 16, 22, 19, 21, 23, 24, 0, 0, 0, 0, 0
DataItem13, 28, 22, 24, 35, 5, 1, 6, 3, 8, 6, 8, 12, 21, 17, 12, 18, 24, 16, 20, 21, 0, 2, 0, 4, 2
DataItem14, 17, 18, 17, 22, 4, 8, 6, 7, 15, 11, 8, 12, 15, 15, 15, 12, 18, 17, 15, 25, 1, 2, 1, 0, 0
DataItem15, 25, 24, 27, 28, 7, 5, 6, 8, 10, 7, 10, 6, 23, 14, 15, 16, 18, 23, 18, 22, 0, 0, 0, 0, 1
DataItem16, 29, 20, 29, 25, 7, 5, 3, 10, 12, 8, 9, 15, 10, 23, 16, 19, 18, 16, 14, 20, 1, 2, 2, 0, 2
DataItem17, 25, 20, 26, 24, 4, 5, 9, 6, 3, 4, 10, 0, 13, 21, 15, 13, 14, 10, 22, 27, 0, 4, 2, 1, 1
DataItem18, 23, 23, 23, 27, 4, 5, 2, 5, 9, 8, 2, 14, 15, 9, 12, 17, 14, 26, 28, 16, 1, 0, 0, 2, 1
DataItem19, 23, 23, 24, 32, 4, 1, 3, 6, 12, 12, 9, 11, 12, 19, 11, 17, 17, 24, 21, 25, 1, 0, 1, 1, 2
DataItem20, 19, 30, 21, 30, 5, 3, 4, 4, 13, 12, 10, 12, 20, 22, 14, 14, 23, 29, 14, 15, 4, 0, 1, 2, 1
DataItem21, 20, 24, 18, 19, 25, 26, 31, 28, 5, 6, 8, 4, 12, 11, 11, 10, 14, 16, 15, 17, 2, 0, 1, 1, 2
DataItem22, 20, 17, 24, 11, 24, 28, 26, 29, 5, 4, 4, 5, 11, 5, 5, 8, 11, 18, 11, 13, 1, 1, 0, 1, 1
DataItem23, 25, 17, 17, 17, 27, 21, 17, 29, 9, 4, 8, 4, 14, 14, 5, 8, 16, 11, 13, 12, 1, 2, 1, 0, 1
DataItem24, 21, 18, 22, 25, 30, 26, 29, 27, 4, 6, 2, 2, 8, 8, 9, 14, 17, 26, 12, 20, 2, 1, 2, 0, 0
DataItem25, 20, 18, 32, 21, 26, 26, 25, 25, 4, 4, 2, 4, 6, 15, 12, 18, 16, 11, 16, 16, 0, 0, 1, 1, 2
DataItem26, 23, 20, 22, 22, 34, 20, 23, 22, 3, 2, 6, 5, 11, 12, 7, 10, 14, 13, 16, 12, 3, 0, 0, 0, 1
DataItem27, 16, 15, 13, 22, 17, 17, 24, 22, 4, 2, 4, 1, 10, 7, 11, 14, 7, 16, 17, 9, 2, 0, 0, 1, 0
DataItem28, 23, 22, 21, 25, 20, 25, 21, 22, 2, 3, 4, 6, 10, 11, 9, 13, 13, 9, 19, 22, 1, 2, 2, 1, 1
DataItem29, 27, 20, 20, 26, 16, 28, 24, 27, 5, 3, 6, 7, 8, 12, 10, 9, 8, 16, 15, 15, 1, 2, 0, 1, 0
DataItem30, 15, 17, 22, 20, 27, 27, 31, 28, 11, 5, 4, 7, 11, 11, 6, 11, 20, 11, 9, 12, 2, 2, 1, 0, 0
