"","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10"
"c2",-1.14424253452077,-3.66056043750191,1.30276833051238,0.686713312432656,1.44847775923085,-0.354622514967411,0.170827338710836,2.98707635474541,-1.68243430960602,3.7212473823599
"c2",-0.0684328500843291,-1.89700448359622,3.54471832464853,0.787236998116008,0.587987972301178,0.152948839774931,2.4435766942129,2.51884884895133,-3.27904487303387,2.35313347864123
"c3",0.572553423165656,3.11574947630895,-1.11518018401262,-1.89678071698713,-1.44649579214607,-2.25793413366666,-2.53547929133826,3.62821269978346,3.20956066068141,-6.30672934916068
"c2",-0.0633654915857389,-3.73808437898459,0.149514652430802,-2.45363294792476,1.4585755123528,-1.20502796663313,2.08628661148736,2.60544082665662,-2.74062799237335,2.46788422877599
"c2",0.448424524108567,-4.561689080485,1.87894661148385,-1.44397922608917,2.66670591932229,-0.443530659091715,1.59360173700578,2.88635749417355,0.30025406064273,3.53416288519444
"c4",2.92329505535081,-2.12827267201184,-0.185474295337603,0.280283090735586,-8.79382593535895,2.50864050078312,1.06495825617305,0.375517009233453,-3.00159999639874,-1.78644456809057
"c2",-0.522522043055352,-3.0566468066494,-0.153870720759529,-0.512433061899746,1.37402355779674,1.12244348595839,-0.75026843742103,1.38012862575638,-0.0687674370678635,3.56541087418271
"c3",-1.83872198819357,4.25336186812487,0.561679390180473,-0.996203305346105,-0.282701793180242,-3.5344136175713,-2.61447876072024,2.00261040882641,5.64555342866083,-4.78862462635495
"c2",0.465512346371887,-2.48655883791152,1.2927751015776,0.184665492533482,2.47069994117274,0.321260451113632,0.571407761078372,3.84128453415866,-1.21705998033909,2.46124706714922
"c2",-0.688984890449858,-3.54312992817175,1.81519219716024,-2.02760895645284,0.667394003499324,0.558288599725162,2.07647594659372,5.43001399211971,-2.84654329809301,2.52218986129669
"c3",-2.5201451912905,0.330006416806583,-1.0750964817576,-2.45195697930674,-1.66728581150976,-4.40532897408937,-2.47704136234878,4.43689662122072,3.61574379293607,-3.14418342200946
"c3",-0.952173129742947,2.25805425432275,0.141492602992232,-1.06456000343564,-0.0692630529064917,-2.3367076550796,-3.65813812287123,4.08144469252319,5.29496996141991,-6.63797219955239
"c3",-2.006940577056,1.93422936677538,0.495346046030731,-1.15873930153835,-1.42263417054834,-3.1163694322139,-1.84101276519383,3.39368486269077,2.6417597381953,-6.83984466369517
"c3",-0.280355084333241,1.97686767791051,-1.24860844405058,-0.700354524891348,-3.20797120327267,-2.22275262514115,-2.44156863420614,3.59431518050794,3.91864807660619,-5.50764205882863
"c3",-1.47911691097096,1.97039452959059,-0.90872886410426,1.72620658128645,-1.10335582659059,-2.01405389539898,-2.9211298973224,2.01886630924555,3.65391250948396,-3.99129834643512
