"","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10"
"c2",-2.23505339319794,2.78732655081947,3.27819628525551,1.30794927824416,2.10721260332439,-1.74066305362034,-1.35691340807171,0.0962203820509658,-3.3446490985264,1.5457940390263
"c2",-4.77111291545808,3.83731323882534,1.43783864897935,3.19291986929642,0.0586944310603783,-1.52327593363863,-1.32127098338784,-0.224730533484908,-3.78170829232635,1.22556127426664
"c3",-5.96996379264453,-1.02950954583941,3.15574402290818,0.115877164222365,-1.28329072714644,-5.50516299270882,0.650552209018023,0.483598118102808,7.46944232914677,4.85761360651318
"c2",-3.74423078500738,2.95457770968984,1.57128017085866,2.70304520077998,2.43323381334225,-2.90985002528643,-1.51037201916807,2.2134748076666,-1.44767132584254,0.439715676506068
"c2",-2.64432360628678,2.20828369376889,3.28525202545623,1.8221623720817,1.72862935205754,-3.02179368644756,0.194196822856869,1.61482619151794,-3.91404188652643,0.631766080410401
"c4",-5.83227811057034,-3.30517302310045,2.75424545583924,1.38448783742223,6.07934726924036,-2.69749178876209,-3.19567050113574,-3.06626094155031,-2.5730776932341,1.0733384341066
"c2",-2.98956970987436,2.24985542661761,1.72850136518208,1.55831612930814,1.30445743904068,-2.0961879885564,-2.01341320468266,1.21914139992975,-2.81932791714321,-0.0555304373202026
"c3",-4.43346735872863,-0.926281940453824,2.44155759038859,-0.919221079221318,-1.86187814500039,-6.16652940061356,-0.744008576714019,-1.28515831301401,6.34223073092521,4.40654820256716
"c2",-1.28724587398784,1.94926900007974,1.66865256525426,1.56744923517164,1.68908671625766,-0.750849424027807,1.04730770703422,2.30510653075818,-2.67648042880425,1.94609462346934
"c2",-2.57749282362254,4.475062447388,-1.12119055754802,2.93692780623147,0.644411158315835,-3.14222342225511,-1.04613076992665,-0.685821136106457,-1.91021176974664,1.18344946026885
"c3",-4.38811910396846,-0.701582825855808,2.07031542179144,-1.03760018966376,-3.8383467168153,-4.65018536039018,-0.734938598517372,0.886380731589313,6.29563881341744,4.0049500767447
"c3",-5.65621912410171,-0.482732586366756,3.30265861459876,0.404490138559737,-1.3041582172567,-2.33406697373725,-0.76154836845423,0.155924941776337,7.64837841329043,2.96739483996543
"c3",-7.12618235152431,0.774840357317606,1.71092473407236,-0.283359000754716,-1.62330340605897,-2.06292392215352,-2.70082710352994,-0.545413226244746,6.24030684216743,3.70978461919779
"c3",-6.31696159502356,-1.81950821926333,2.00601893858163,1.48985503222078,-0.713834347807875,-4.53993498958909,0.435059759789139,0.0443317403202719,7.56212369075673,4.75715134554638
"c3",-4.62951563879968,-0.66543242994701,3.21773656275538,0.485257294623658,-1.47007026958664,-4.63681174741423,-1.13489176744272,-0.456595690812326,8.27177765922554,2.6529077393862
"c2",-3.04975750053134,1.66360841966333,0.305703491494382,1.21045025564758,1.33165653578565,-3.09658201303004,-0.341956839853625,-0.00663186901451907,-4.27007975359659,-0.68802378275643
"c5",-1.60957442310978,1.69917111009271,0.717579475865584,0.158292207426499,-3.80683011371542,-3.54793666048067,-11.2387502806838,-1.75649238835712,0.198579276606188,2.39793514835696
"c5",-0.112505968808227,1.77376857681178,-0.47490759273636,-0.21289003387477,-0.584905282018587,-2.81942297581815,-9.44684966495739,-2.38443204345263,0.157352257003156,1.95319724992411
"c2",-1.23804460403914,1.06482659324541,1.9728795114933,1.68071189301467,0.190793512708229,-3.72625413593386,-1.45590161429214,1.55531516760344,-1.29599744337679,-0.111793380156013
"c3",-5.46341582881322,-0.803746658240348,3.71257909611217,-0.152868857890201,-2.01251298780888,-2.8214820845688,-2.60057856978329,-2.09494024114668,8.61664936992864,4.19447192117188
"c4",-5.19997713223711,-3.15207209782259,2.91503094700032,2.03396428126806,5.35617796753672,-1.1426194756543,-5.18630658659409,-2.08681869553226,-1.39878797826019,-1.99886951804829
"c3",-4.61762786939212,0.726288435341454,2.17387791657369,0.789341966238187,-2.06354823621435,-3.17062548673306,-0.740208220055707,0.299077644595284,4.39824132497636,4.42290785921069
"c3",-6.24919840236818,-1.60326941061873,2.5516900615467,1.51063808215721,-2.49136497264509,-3.49180723800114,-1.51991724847795,-1.392563439132,5.54598492215158,2.56212346774111
"c5",-2.35424525401843,2.21255493311528,0.997337111268543,-0.747592947347092,-2.32995346818343,-2.87847238736222,-8.76814033419092,-1.66049097612803,1.67369685211475,0.836710110367893
"c3",-5.62090844848081,-0.241353857789232,3.03072408902242,1.70035258135624,-3.60341621000367,-4.09846086183806,-0.188539123432291,0.0878783527279708,8.55281832635962,3.96566687631524
"c2",-0.837293414300337,4.22812909437624,1.6112954682158,0.0313634090168031,1.16636951925674,-2.19906707277296,-1.43025257735184,1.95572605285461,-0.529886599537819,1.07514470369057
"c3",-4.90561025681178,-1.49624646218661,2.13188065502233,0.581903624917944,-0.572081146420657,-2.10946951786652,-1.43822392822057,1.70282129751546,4.89171001968954,1.94799921377716
"c5",-0.908011653041568,1.63912776607692,-1.41016502037993,-1.77294491851087,-1.60379726355739,-3.78977757438317,-9.9003804668977,-1.21284722590214,1.16716572589303,1.41816212553689
"c3",-4.90675503721908,-0.902872224751533,3.16588903388607,0.347647414098312,-1.97107633901673,-4.97300452507876,-1.53935694578911,-0.220148949596359,6.56069840734668,3.57920373307023
"c3",-5.76193129384152,0.418820521986885,1.35770666977187,0.109674046310811,-1.79889058514335,-2.49973446514859,0.909449979899424,0.177300593087309,7.25210281657329,4.03421420540704
