"","x"
"1",2.10721260332439
"2",0.0586944310603783
"3",-1.28329072714644
"4",2.43323381334225
"5",1.72862935205754
"6",6.07934726924036
"7",1.30445743904068
"8",-1.86187814500039
"9",1.68908671625766
"10",0.644411158315835
"11",-3.8383467168153
"12",-1.3041582172567
"13",-1.62330340605897
"14",-0.713834347807875
"15",-1.47007026958664
"16",1.33165653578565
"17",-3.80683011371542
"18",-0.584905282018587
"19",0.190793512708229
"20",-2.01251298780888
"21",5.35617796753672
"22",-2.06354823621435
"23",-2.49136497264509
"24",-2.32995346818343
"25",-3.60341621000367
"26",1.16636951925674
"27",-0.572081146420657
"28",-1.60379726355739
"29",-1.97107633901673
"30",-1.79889058514335
"31",-1.27443422346763
"32",4.13786919103909
"33",6.04191323498867
"34",1.51475451871522
"35",-1.49686365147885
"36",1.15583630683294
"37",-2.45979693143705
"38",6.70174591365225
"39",-0.586780487772586
"40",5.6465592110092
"41",6.1975384648132
"42",-1.07312387791159
"43",5.8907477440801
"44",3.23204649422187
"45",-2.76495816164296
"46",-0.907341679513142
"47",-0.857603408851541
"48",1.98955218929099
"49",2.30679173398138
"50",1.13116960420836
"51",-1.97147624105864
"52",-2.4092910113402
"53",4.96894585683826
"54",-3.11526752137627
"55",1.9554998954499
"56",4.29530131283193
"57",-2.30052446672369
"58",1.13616710264549
"59",-1.83032714429209
"60",5.11669040590429
"61",0.93509086322766
"62",-0.588895016052534
"63",2.55778449356231
"64",-2.37969566698442
"65",-1.0086900761751
"66",-3.21018268038398
"67",-2.50846549473069
"68",1.67991126571852
"69",0.862982507162607
"70",5.23711298483681
"71",1.05199847275539
"72",-1.67577438028327
"73",-2.21744924130962
"74",-0.194182193547638
"75",4.77219085709569
"76",2.62227595756771
"77",-2.28382498254861
"78",4.28493527531763
"79",2.71616691582027
"80",3.39216027287425
"81",-1.81852431633613
"82",-2.86046568972545
"83",4.98569708030641
"84",4.87569514937624
"85",-1.68580606537815
"86",-1.19336749003995
"87",0.425373533814118
"88",-0.649260623351981
"89",4.47794992035593
"90",-2.03675654629084
"91",1.61980828734029
"92",2.06409699104717
"93",-2.39041847483312
"94",-3.01059424441941
"95",-3.06420095521535
"96",-2.39733429168412
"97",2.82281135829335
"98",-1.40692186284871
"99",2.2454663472603
"100",3.14707380583364
"101",-0.531682675479764
"102",-0.830719808133465
"103",-2.47310980855675
"104",-0.832422963211567
"105",1.30199133308884
"106",-0.801685878446523
"107",4.37803511107209
"108",4.93237134314674
"109",-2.75819769364914
"110",-2.00172001430903
"111",1.90760379440302
"112",-0.71955106626324
"113",1.11581099842817
"114",-3.09236933739212
"115",-2.81608876441084
"116",4.99273660067779
"117",-2.06496950383228
"118",-3.91219009899131
"119",-1.1220433444714
"120",1.15673628573075
"121",-1.33101648810384
"122",-1.53666445576544
"123",3.76754812443354
"124",-0.712791206528879
"125",-2.82494977483494
"126",-1.75919103159587
"127",3.07563341269558
"128",-2.66579072778412
"129",0.812159042903492
"130",-2.17349659942624
"131",-2.45558972583238
"132",5.52588628744868
"133",-2.81932911131838
"134",-3.7469503299838
"135",-2.87391902941508
"136",-2.34260042663658
"137",-2.5960326338919
"138",-2.13642376844386
"139",-1.723984416646
"140",3.58505215584663
"141",-1.58913923337817
"142",2.08747259058927
"143",-1.86870226832023
"144",2.19260627393959
"145",3.00918308635681
"146",0.272846641834009
"147",1.76635402855794
"148",-1.88504416950169
"149",-3.17923530390954
"150",3.80423618356515
"151",-1.65664327189472
"152",0.568183975021888
"153",-2.41771932281164
"154",-0.654741232991414
"155",-2.42885999253685
"156",4.51047023761402
"157",1.63540143359568
"158",-2.04858600421042
"159",-2.97823557874162
"160",1.45114201650804
"161",0.931630318743798
"162",-2.66400881877694
"163",-1.47416520872174
"164",-2.75109943231395
"165",1.30018068891848
"166",-1.73073160555337
"167",-2.26806138831405
"168",-3.32410186028836
"169",-2.85053222124621
"170",-2.00951447071035
"171",1.45929838142078
"172",-1.12742655210747
"173",0.435892906004508
